Aac11
Aats-cys
Aats-glupro
Acn
AGO2
Aldh-III
Aos1
Arc1
armi
Arp5
Ars2
asparagine-synthetase
Ate1
ATPsyn-d
Atx2
ball
Brd8
BubR1
c(3)G
Cat
Cct5
Cdc37
Cdc5
Cep97
CG10209
CG10341
CG10383
CG10737
CG1091
CG1104
CG11148
CG11266
CG11555
CG12065
CG12082
CG12090
CG12582
CG14894
CG14961
CG14967
CG15014
CG15478
CG15784
CG1582
CG1646
CG16941
CG17168
CG18547
CG2807
CG2889
CG3008
CG30122
CG30389
CG31211
CG31368
CG31550
CG31601
CG31712
CG32344
CG32452
CG32706
CG33123
CG34334
CG34376
CG34417
CG3760
CG3776
CG42390
CG42671
CG4294
CG43427
CG4364
CG44254
CG4749
CG4849
CG4853
CG4951
CG5205
CG5355
CG5514
CG5706
CG5792
CG5815
CG5844
CG6115
CG6455
CG6695
CG6745
CG6845
CG6999
CG7028
CG7054
CG7110
CG7115
CG7139
CG7185
CG7261
CG7324
CG7358
CG7456
CG7518
CG7927
CG7997
CG8003
CG8010
CG8042
CG8108
CG8206
CG8209
CG8258
CG8368
CG8435
CG8507
CG8549
CG8801
CG8920
CG8929
CG9391
CG9586
CG9646
CG9663
CG9715
CG9776
CG9951
chico
Cirl
Cnot4
CR31044
CR42862
CR43651
crc
CSN6
CSN7
csul
D1
Dcr-2
del
deltaCOP
dikar
DIP1
dlg1
DMAP1
Dmtn
dor
DOR
dre4
Drp1
ebd1
eIF2B-delta
eIF-2beta
eIF3-S8
eIF3-S9
Eps-15
fidipidine
g
Galphas
gammaTub23C
GCC185
Gen
gfzf
GlyP
GM130
Gnf1
Gp93
Gpo-1
Grip91
hdly
Hsc70-4
Hsc70Cb
Hsf
Hsp26
Hsp27
Hsp68
Ide
IntS11
kra
l(1)G0148
l(1)G0222
lark
lig3
ligatin
Lk6
Mad1
maf-S
mars
Mbs
Mhcl
mim
Moca-cyp
Mocs1
MRG15
mRpL37
mRpL40
mRpL42
mth
mu2
Nacalpha
NAT1
Ndc80
Nmnat
nonA
Not3
Ns1
Ns4
NUCB1
Nup50
Oga
pcm
Pde11
Pdi
Pitslre
Pk92B
Pms2
pog
PP2A-B'
pps
Prosalpha6
Prp31
pUf68
pyd
qkr54B
qkr58E-1
Rab3-GAP
RAF2
Ranbp9
RanGAP
Rel
RhoGEF2
RnpS1
row
Rpn10
Rpn2
Rpn5
Rpp30
RpS3
Rpt1
Rpt5
Rpt6
sba
scaf6
scra
sds22
Sec10
Sec16
Sec23
Sec31
SF1
shi
sip2
Smc5
SmD2
Smg5
Smg6
sol
Srp72
stv
su(Hw)
su(w[a])
Tango1
Tao
Tdrd3
Tep2
TppII
trbl
TSG101
tud
Uba2
Ubi-p63E
Ubp64E
Ugt86Da
Unc-115a
uri
vret
woc
Xe7
Xpac
XRCC1
Xrp1
yps
ZAP3
Zasp52
Zn72D
